,Book Name,Author,Rating,Number of Reviews,Price,Rank,Genre,Listening Time (minutes),cleaned_description,cluster
1832,The Candlestick Course,Steve Nison,4.6,203.0,586.0,555,Economics Books,264.0,expert instruction practical application candlestick charting,2
1833,Spark Joy,Marie Kondo,4.7,2961.0,615.0,3,Home & House Maintenance,331.0,random house present unabridged downloadable audiobook edition spark joy marie kondo read sumalee montano,3
1834,How to Win at College: Surprising Secrets for Success from the Country's Top Students,Cal Newport,4.5,198.0,469.0,442,Study Guides,222.0,how graduate honor choose exciting activity build resume gain access best opportunity still life based interview star student university nationwide harvard university arizona how win college present simple rule rocket top class these often surprising strategy include,2
1835,How to Hear From God: Learn to Know His Voice and Make Right Decisions,Joyce Meyer,4.7,310.0,469.0,3,Christian Spiritual Growth,330.0,through international ministry joyce meyer helped million people develop stronger fulfilling relationship god now how hear from god teach open heart develop special sensitivity receptiveness many different often surprising way god answer question using scripture experience ministry joyce help hear god speaking thought feeling word people dream sign natural world arm negative people gossip television sometimes even religious ritual distract hearing god word understand must follow his advice receive many blessing he want give know simply asking god sanctify heart ear make easier hear he tell discover joy lasting inner peace,2
1836,"Rewire Your Anxious Brain: How to Use the Neuroscience of Fear to End Anxiety, Panic, and Worry",Catherine M. Pittman PhD,4.6,601.0,668.0,3,Biological Sciences,390.0,do ever wonder happening inside brain feel anxious panicked worried in rewire your anxious brain psychologist catherine pittman author elizabeth karle offer unique solution overcoming anxiety based neuroscience research,2
1837,A Court of Wings and Ruin,Sarah J. Maas,4.8,5017.0,1055.0,-1,,486.5,oops it rush hour traffic piling page please try short trying place order processed time go home page continue shopping,4
1838,"The 4 Pillar Plan: How to Relax, Eat, Move and Sleep Your Way to a Longer, Healthier Life",Dr Rangan Chatterjee,4.7,1183.0,615.0,3,"Diets, Nutrition & Healthy Eating",342.0,penguin present audiobook edition the pillar plan written read dr rangan chatterjee,3
1839,Fluent Forever: How to Learn Any Language Fast and Never Forget It,Gabriel Wyner,4.5,812.0,1172.0,1,Linguistics (Books),472.0,memory greatest challenge learning foreign language many word many rule for every new word learn seem forget two old one making fluency seem reach,2
1840,Cotillion,Georgette Heyer,4.6,454.0,751.0,3,Classic Literature,735.0,by completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,1
1841,Mastery: The Keys to Success and Long-Term Fulfillment,George Leonard,4.5,480.0,351.0,3,Philosophy (Audible Audiobooks & Originals),217.0,drawing zen philosophy expertise martial art aikido author george leonard show process mastery help u attain higher level excellence deeper sense satisfaction fulfillment daily life,2
1842,"Surrounded by Idiots: The Four Types of Human Behaviour (or, How to Understand Those Who Cannot Be Understood)",Thomas Erikson,4.5,877.0,888.0,3,Personal Development & Self-Help,629.0,brought penguin,1
1843,What Lies Between Us,John Marrs,4.6,845.0,844.0,3,Psychological Thrillers,687.0,nina never forgive maggie and never let leave,2
1844,"Dirty Girl Duet: The Dirty Girl Duet, Books 1 and 2",Meghan March,4.5,268.5,820.0,1,Erotic Fiction,623.0,dirty girl,2
1845,"The Best Poems of All Time, Volume 1",William Shakespeare,4.5,268.5,500.0,3,Classic Literature,96.0,revisit classic,2
1846,Brain Rules for Baby (Updated and Expanded): How to Raise a Smart and Happy Child from Zero to Five,John Medina,4.6,809.0,702.0,1,Family & Relationships,566.0,what single important thing pregnancy what watching tv child brain what best way handle temper tantrum scientist know in new york time best seller brain rule john medina showed u brain really work ought redesign workplace school now brain rule baby share latest science say raise smart happy child zero five this book destined revolutionize parenting just one surprise the best way get child college choice teach impulse control brain rule baby bridge gap scientist know parent practice through fascinating funny story medina developmental molecular biologist dad unravels child brain develops optimize you view child raise whole new light you learn where nature end nurture begin why men household chore what emotion run hot affect baby turn baby need feel safe tv harmful child two your child ability relate others predicts future math performance smart happy inseparable pursuing child intellectual success expense happiness achieves neither praising effort better praising intelligence the best predictor academic performance iq it what right pregnancy pregnancy first five year affect child rest life brain rule baby indispensable guide,2
1847,Seeing Like a State,James C. Scott,4.6,96.0,937.0,3,Political Science History & Theory,966.0,compulsory ujamaa village tanzania collectivization russia le corbusier urban planning theory realized brasilia great leap forward china agricultural modernization tropic twentieth century racked grand utopian scheme inadvertently brought death disruption million why plan improving human condition go tragically awry,2
1848,"The Black Company: Chronicles of The Black Company, Book 1",Glen Cook,4.1,270.0,836.0,3,Dark Fantasy,654.0,some feel lady newly risen century thrall stand humankind evil some feel evil the hardbitten men black company take pay must burying doubt dead prophesy the white rose reborn somewhere embody good,2
1849,How the Mind Works,Steven Pinker,4.3,275.0,1005.0,3,Biology Books,1565.0,in delightful acclaimed best seller one world leading cognitive scientist tackle working human mind what make u often irrational how see three dimension what make u happy afraid angry disgusted sexually aroused why fall love and grapple imponderable morality religion consciousness,2
1850,The Enchanted Hour: The Miraculous Power of Reading Aloud in the Age of Distraction,Meghan Cox Gurdon,4.8,74.0,421.0,3,Audiobook Beginner Readers for Children,436.0,a look social familial neurological psychological benefit reading aloud especially parent child,2
1851,Ramayana: An Ancient Indian Epic,Ayur Pulle,5.0,4.0,233.0,3,Literature & Fiction (Audible Audiobooks & Originals),67.0,the great indian epic ramayana told retold thousand year poet performer writer it tale courage fear love hate devotion betrayal the epic span three world god human demon here force good evil collide locked battle ultimate supremacy rama crown prince kosala descendent timeless surya dynasty must face unimaginable danger lie destiny,2
1852,HBR's 10 Must Reads on Sales: HBR's 10 Must Reads Series,Harvard Business Review,4.0,25.0,586.0,1,Leadership,348.0,sale pushing product efficient building right system manage empower salesperson,2
1853,Addison Cooke and the Treasure of the Incas,Jonathan W. Stokes,4.7,173.0,1156.0,3,Historical Action & Adventure for Children,470.0,the goony meet indiana jones james patterson treasure hunter funny adventure series,2
1854,The Wall of Winnipeg and Me,Mariana Zapata,4.6,1201.0,1172.0,3,Romance (Books),960.0,vanessa mazur know right thing she feel bad quitting being godmother top defensive end national football organization always supposed temporary she plan none include washing underwear longer necessary,2
1855,The Inimitable Jeeves,P. G. Wodehouse,4.8,7.0,493.0,3,Literature & Fiction (Books),214.0,jeeves exerts the old cerebellum no wedding bell for bingo aunt agatha speaks her mind pearl mean tear the pride of the woosters is wounded the hero reward introducing claude and eustace sir roderick come to lunch a letter of introduction startling dressiness of a lift attendant comrade bingo bingo bad goodwood,2
1856,The Inimitable Jeeves,P. G. Wodehouse,4.8,242.0,493.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1857,The Carpet Weaver,Nemat Sadat,4.6,103.0,879.0,3,Romance (Audible Audiobooks & Originals),611.0,afghanistan kanishka nurzada son leading carpet seller fall love friend maihan share first kiss age their romance must kept secret nation death penalty meted deemed kuni derogatory term gay men and war come afghanistan brings even greater challenge danger two lover,2
1858,"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,1530.0,683.0,2,Psychology (Audible Audiobooks & Originals),374.0,random house present unabridged downloadable audiobook edition option b sheryl sandberg adam grant read elisa donovan,3
1859,"The Art of Extraordinary Confidence: Your Ultimate Path to Love, Wealth, and Freedom",Dr. Aziz Gazipura PsyD,4.4,119.0,836.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1860,Geronimo Stilton #11 & #12,Geronimo Stilton,4.5,268.5,468.0,130,Children's Action & Adventure,140.0,i excited christmas i could hardly squeak my nephew benjamin i going trim tree eat lot delicious christmas cheesy chew but could say cat alert disaster struck i tripped tail ended hospital and mouse hole caught fire holey cheese turning worst christmas ever,2
1861,Such a Fun Age,Kiley Reid,4.3,2707.0,493.0,1,Romance (Books),598.0,longlisted booker prize,2
1862,Where Good Ideas Come From: The Natural History of Innovation,Steven Johnson,4.4,336.0,879.0,-1,,486.5,oops it rush hour traffic piling page please try short trying place order processed time go home page continue shopping,4
1863,Morning Star: Book III of the Red Rising Trilogy,Pierce Brown,4.8,3016.0,1055.0,3,Adventure Science Fiction,1310.0,darrow would lived peace enemy brought war the gold overlord demanded obedience hanged wife enslaved people but darrow determined fight back risking everything transform breach gold society darrow battled survive cutthroat rivalry breed society mightiest warrior climbed rank waited patiently unleash revolution tear hierarchy apart within,2
1864,Miracle Eyesight Method: The Natural Way to Heal and Improve Your Vision,Meir Schneider,4.5,268.5,586.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1865,"Get Rich, Lucky Bitch!: Release Your Money Blocks and Live a First-Class Life",Denise Duffield-Thomas,4.7,300.0,773.0,-1,,486.5,it weird frankly bewildering talented woman world often one struggling make fabulous money talent in get rich lucky bitch get tool inspiration need go next level wealth whether starting scratch itching break mark,2
1866,Verity,Colleen Hoover,4.6,5558.0,668.0,3,"Crime, Thriller & Mystery (Books)",490.0,a best seller several category rating goodreads,2
1867,Verity,Colleen Hoover,4.6,5558.0,668.0,-1,,486.5,oops it rush hour traffic piling page please try short trying place order processed time go home page continue shopping,4
1868,Better Vocabulary in 30 Minutes a Day: Better English Series,Edie Schwager,3.9,16.0,656.0,-1,,486.5,oops it rush hour traffic piling page please try short trying place order processed time go home page continue shopping,4
1869,Better Vocabulary in 30 Minutes a Day: Better English Series,Edie Schwager,3.9,16.0,656.0,3,Alphabet Reference,330.0,would like find new exciting word use speech writing would like fascinating conversationalist would like scrabble expert,2
1870,A History of the World,Andrew Marr,4.5,527.0,323.0,3,Textbooks & Study Guides,1588.0,from earliest civilization century global journey human history published alongside landmark bbc one television series,2
1871,When the Body Says No: The Cost of Hidden Stress,Gabor Maté,4.7,1153.0,1219.0,3,Family & Relationships,797.0,in when body say no physician writer gabor maté explores link connection stress disease can person literally die loneliness is relationship ability express emotion alzheimer disease is thing cancer personality,2
1872,"Hamlet: Shakespeare Appreciated (Unabridged, Dramatised, Commentary Options)",William Shakespeare,4.5,268.5,664.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1873,"Hamlet: Shakespeare Appreciated (Unabridged, Dramatised, Commentary Options)",William Shakespeare,4.5,268.5,664.0,3,Theater & Ballet,686.0,if school turned shakespeare find missing year beautifully crafted audio presentation,2
1874,Big Potential: Five Secrets of Reaching Higher by Powering Those Around You,Shawn Achor,4.6,132.0,683.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1875,Big Potential: Five Secrets of Reaching Higher by Powering Those Around You,Shawn Achor,4.6,132.0,683.0,3,Leadership,395.0,random house present audiobook edition big potential written read shawn achor,3
1876,Moby Dick: The Whale,Herman Melville,4.3,3360.0,1338.0,3,"Crime, Thriller & Mystery (Books)",1595.0,widely considered great american novel treasure world literature the story detail adventure wandering sailor ishmael voyage whale ship pequod commanded captain ahab ishmael soon learns ahab seek one specific whale moby dick ferocious enigmatic white sperm whale in previous encounter whale destroyed ahab boat bit leg and ahab intends take revenge,2
1877,Learn Hindi - Level 1: Introduction to Hindi: Volume 1: Lessons 1-25,Innovative Language Learning LLC,4.5,268.5,469.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1878,Learn Hindi - Level 1: Introduction to Hindi: Volume 1: Lessons 1-25,Innovative Language Learning LLC,4.5,268.5,469.0,-1,",          5 star,        ,          (0%),        ,          ,            0%,          ,",175.0,absolutely new hindi do know start,2
1879,"The Big Fat Surprise: Why Butter, Meat, and Cheese Belong in a Healthy Diet",Nina Teicholz,4.7,1273.0,820.0,3,"Diets, Nutrition & Healthy Eating",806.0,dish red meat egg whole milk in captivating narrative veteran food writer nina teicholz prof everything told fat wrong,2
1880,"Theft of Swords: Riyria Revelations, Volume 1",Michael J. Sullivan,4.5,1038.0,1407.0,3,Action & Adventure Fiction,1358.0,audie award nominee fantasy,2
1881,"Fresh Floods: Ponniyin Selvan, Book 1",Kalki R. Krishnamurthy,4.7,44.0,836.0,1,Classic Fiction (Books),927.0,ponniyin selvan kalki magnum opus based century present early life rajaraja king chozha empire though written year ago saga timeless reeling listener gripping plot interwoven intrigue conspiracy romance,2
1882,David Attenborough - Life on Air: Memoirs of a Broadcaster,David Attenborough,4.7,361.0,1093.0,3,Biographies of Celebrities & Entertainment Professionals,1163.0,his career naturalist broadcaster spanned nearly five decade place globe visited in volume memoir david tell story people animal met place visited,2
1883,"Reclaim Your Brain: How to Calm Your Thoughts, Heal Your Mind, and Bring Your Life Back Under Control",Joseph A. Annibali MD,4.5,49.0,1005.0,3,Stress Management,581.0,a prescriptive guide restoring cognitive calm based amen clinic chief psychiatrist joseph annibali three decade treating patient suffer overloaded brain,2
1884,Cognitive Behavioral Therapy: Techniques for Retraining Your Brain,Jason M. Satterfield,4.5,268.5,1171.0,-1,",          5 star,        ,          (0%),        ,          ,            0%,          ,",755.0,why hard lose weight stop smoking establish healthy habit why couple argue issue why many people lie awake night stricken worry anxiety why difficult come term loved one death even long illness,2
1885,E-Mail: A Write It Well Guide,Janis Fisher Chan,4.2,21.0,586.0,5,Analysis & Strategy,268.0,in today competitive business environment everyone need communicate clearly use time productively a write it well guide audiobook filled guideline tip tool discover write professional email get result make better use email time avoids problem costly the updated version includes section using instant messaging handheld device used individual corporation trainer anyone writes email work,2
1886,Creation: A Novel,Gore Vidal,4.3,42.0,1005.0,3,Religious & Spiritual Fiction,1628.0,a sweeping novel politics war philosophy adventure restored edition featuring material gore vidal original manuscript creation offer captivating grand tour ancient world,2
1887,Rangeela Geedad,Gulzar,4.5,268.5,75.0,4,Children's Literature & Fiction (Books),23.0,one fine day chandru small jackal wake find fur blue listen hilarious story panchatantra find blue jackal us colour advantage,2
1888,The 50th Law,Robert Greene,4.6,1314.0,626.0,3,Biographies & Autobiographies (Books),496.0,containing intimate story cent life street boardroom rise worldwide fame acclaim release album get rich die tryin example others overcome adversity understanding practicing law this deeply inspirational book perfect entrepreneur well anyone interested extraordinary life curtis jackson,2
1889,The Switch,Beth O'Leary,4.6,670.0,759.0,3,Urban Fiction,612.0,eileen sick,2
1890,"Gap Selling: Getting the Customer to Yes: How Problem-Centric Selling Increases Sales by Changing Everything You Know About Relationships, Overcoming Objections, Closing and Price",Keenan,4.7,230.0,668.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1891,The Ballad of Songbirds and Snakes: A Hunger Games Novel,Suzanne Collins,4.6,6520.0,703.0,1,Dystopian Fiction for Teens,976.0,it morning reaping kick annual hunger game in capitol coriolanus snow preparing one shot glory mentor game the house snow fallen hard time fate hanging slender chance coriolanus able charm outwit outmaneuver fellow student mentor winning tribute,2
1892,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy,E. L. James,4.4,17597.0,1093.0,2,Romance (Books),1259.0,in final instalment trilogy left whole generation breathless james brings fiery story christian ana truly thrilling crescendo,2
1893,Thinking for a Change: 11 Ways Highly Successful People Approach Life and Work,John C. Maxwell,4.6,121.0,469.0,1,Leadership,202.0,drawing word deed many world greatest leader empowering audiobook help access thinking style guide new one step step teach secret,2
1894,Nature's Best Hope: A New Approach to Conservation that Starts in Your Yard,Douglas W. Tallamy,4.8,277.0,1172.0,3,Sustainable & Green Living,390.0,douglas tallamy first book bringing nature home awakened thousand individual urgent situation wildlife population decline native plant depend fast disappearing his solution plant native in new book tallamy take next step outline vision grassroots approach conservation,2
1895,Business Intelligence for Dummies,Swain Scheps,4.1,60.0,703.0,5,Analysis & Strategy,827.0,you intelligent right so already figured business intelligence pretty valuable making right decision business but heard least dozen definition heard least many bi tool where start,2
1896,Blueprint: The Evolutionary Origins of a Good Society,Nicholas A. Christakis,4.6,159.0,1673.0,3,Biology Books,895.0,drawing advance social science evolutionary biology genetics neuroscience network science blueprint show evolution placed u humane path united common humanity,2
1897,Leave it to Psmith,P. G. Wodehouse,4.4,199.0,653.0,2,Humour (Books),541.0,the precarious peace blandings shattered necklace becomes object dark plottings within castle lurk well connected jewel thief among honourable freddie threepwood lord emsworth younger son want reward money set bookmaking business,2
1898,Six Days of War: June 1967 and the Making of the Modern Middle East,Michael B. Oren,4.6,463.0,1003.0,3,Military History (Audible Audiobooks & Originals),1073.0,michael oren spotlight participant arab israeli soviet american well world leader involved clash transformed world,2
1899,"Building Resilience in Children and Teens, 4th Edition: Giving Kids Roots and Wings",Kenneth R. Ginsburg,4.8,52.0,398.0,-1,,486.5,oops it rush hour traffic piling page please try short trying place order processed time go home page continue shopping,4
1900,Target 3 Billion: PURA: Innovative Solutions Towards Sustainable Development,APJ Abdul Kalam,4.7,99.0,879.0,3,Philosophy & Science,499.0,with million people living village india largest rural population world based indian experience dr kalam recommends sustainable inclusive development system called pura providing urban amenity rural area uplift rural mass subsidy entrepreneurship community participation,2
1901,"The Simulation Hypothesis: An MIT Computer Scientist Shows Why AI, Quantum Physics, and Eastern Mystics All Agree We Are in a Video Game",Rizwan Virk,4.4,159.0,668.0,3,Computer Science Books,562.0,the simulation hypothesis author renowned mit computer scientist silicon valley video game designer rizwan virk explains one daring consequential theory time,2
1902,The Giver of Stars,Jojo Moyes,4.6,7476.0,1093.0,3,Literary Fiction,832.0,brought penguin spellbinding story love friendship power word change world international author me before you,2
1903,Scaling Leadership: Building Organizational Capability and Capacity to Create Outcomes that Matter Most,Robert J. Anderson,4.5,34.0,703.0,3,Leadership,406.0,transform organization scaling leadership,2
1904,Radical Compassion: Learning to Love Yourself and Your World with the Practice of RAIN,Tara Brach,4.8,281.0,888.0,3,Buddhism (Books),500.0,brought penguin,1
1905,"Beyond Biocentrism: Rethinking Time, Space, Consciousness, and the Illusion of Death",Robert Lanza,4.4,437.0,668.0,3,Philosophy & Science,436.0,biocentrism shocked world radical rethinking nature reality,2
1906,Mere Sapnon ka Bharat [India of My Dreams],Mohandas K. Gandhi,4.4,24.0,836.0,4,Asian History (Books),760.0,mahatma gandhi influential indian century whose shadow continues loom large country even year death he struggled dreamt india free yoke british rule also evil poverty illiteracy citizen enjoying equally fruit freedom prosperity,2
1907,"House of Earth and Blood: The Crescent City, Book 1",Sarah J. Maas,4.7,3370.0,873.0,1,Fantasy (Books),1670.0,bryce quinlan love life every night party bryce going savour pleasure lunathion also known crescent city offer but brutal murder shake foundation city brings bryce world crashing,2
1908,Trade Wars Are Class Wars: How Rising Inequality Distorts the Global Economy and Threatens International Peace,Matthew C. Klein,4.6,57.0,586.0,3,Economic Public Policy,512.0,a provocative look today trade conflict caused government promoting interest elite expense worker,2
1909,"Positive Discipline Parenting Tools: The 49 Most Effective Methods to Stop Power Struggles, Build Communication, and Raise Empowered, Capable Kids",Jane Nelsen Ed.D.,4.8,45.0,1005.0,3,Parenting,688.0,do wish way raise child without punishment are afraid alternative overly indulgent with positive discipline encouragement model based kindness firmness choose two extreme using positive discipline tool honed perfected year research feedback able work child instead,2
1910,Patience and Sarah,Isabel Miller,4.6,37.0,668.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1911,"Zak George's Guide to a Well-Behaved Dog: Proven Solutions to the Most Common Training Problems for All Ages, Breeds, and Mixes",Zak George,4.7,499.0,879.0,3,Pets & Animal Care (Books),406.0,a compassionate modern approach help dog common training problem,2
1912,Creating True Prosperity,Shakti Gawain,4.9,18.0,421.0,3,"Mind, Body & Spirit",225.0,by completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,1
1913,Napoleon Hill's Outwitting the Devil: The Secret to Freedom and Success,Napoleon Hill,4.7,1086.0,586.0,866,Family & Relationships,351.0,in publication think grow rich napoleon hill revealed broken devil code forcing confess secret the resulting manuscript outwitting devil proved controversial hidden year now sharon lechter brings u important book annotating editing contemporary audience using legendary ability get root human potential hill dig deep identify greatest obstacle face reaching personal goal including fear procrastination anger jealousy tool orchestrated devil these hidden method control lead u ruin hill reveals seven principle good allow u finally triumph succeed,2
1914,Napoleon Hill's Outwitting the Devil: The Secret to Freedom and Success,Napoleon Hill,4.7,1087.0,586.0,866,Family & Relationships,351.0,in publication think grow rich napoleon hill revealed broken devil code forcing confess secret the resulting manuscript outwitting devil proved controversial hidden year now sharon lechter brings u important book annotating editing contemporary audience using legendary ability get root human potential hill dig deep identify greatest obstacle face reaching personal goal including fear procrastination anger jealousy tool orchestrated devil these hidden method control lead u ruin hill reveals seven principle good allow u finally triumph succeed,2
1915,Holes,Louis Sachar,4.7,4365.0,417.0,3,Children's Action & Adventure,270.0,stanley yelnats family history bad luck miscarriage justice sends camp green lake juvenile detention centre green lake surprised,2
1916,The Power of Intention: Learning to Co-Create Your World Your Way,Dr. Wayne W. Dyer,4.7,1101.0,562.0,3,"Mind, Body & Spirit",267.0,intention generally viewed pit bull kind determination propelling one succeed cost never giving inner picture in view attitude combine hard work indefatigable drive toward excellence way succeed however intention viewed differently audiobook wayne dyer researched intention force universe allows act creation take place this audiobook explores intention something energy part we intended invisible power intention this first audiobook look intention field energy access begin life power intention,2
1917,How Dogs Think: What the World Looks Like to Them and Why They Act the Way They Do,Stanley Coren PhD,4.4,129.0,1008.0,4,Earth Sciences Books,784.0,author psychologist expert dog behavior training stanley coren present informative fascinating book yet dog,2
1918,Deng Xiaoping: A Revolutionary Life,Alexander V. Pantsov,4.5,268.5,1170.0,3,Biographies & Autobiographies (Books),1306.0,deng xiaoping joined chinese communist movement youth rose rank become important lieutenant mao onward two year mao death deng became de facto leader chinese communist party prime architect china reform abandoning maoist socioeconomic policy long fervently supported set motion change would dramatically transform china economy society position world three decade later living result,2
1919,"The Third Wheel: Diary of a Wimpy Kid, Book 7",Jeff Kinney,4.6,6064.0,410.0,-1,",            5 star,          ,            ,              76%,            ,",130.0,brought puffin,1
1920,The Rider,Tim Krabbé,4.7,288.0,417.0,3,Contemporary Fiction (Books),268.0,with the rider tim krabbé created book unique rank sporting literature he describes one race page in course narrative get know forceful bumbling lebusque aesthete barthelemy young turk reilhan mysterious rider cycle goff krabbé battle turn failing descent shining climb suffering false flat the outcome race fact merely last stanza exciting paean stamen suffering redeeming power humour,2
1921,The Housekeeper: A Twisted Psychological Thriller,Natalie Barelli,4.4,1750.0,1172.0,3,Suspense,484.0,when claire see hannah wilson exclusive manhattan hair salon like knife slicing barely healed scar it may year since claire last saw hannah thought every day good way so claire anyone would position stalk,2
1922,Teachings of the Buddha: Revised and Expanded,Jack Kornfield (editor),4.6,156.0,100.0,3,Buddhist Philosophy & Practice,217.0,this treasury essential buddhist writing draw popular indian tibetan chinese japanese source among selection earliest recorded saying buddha practice freedom passage later indian scripture perfection wisdom verse tibetan master enlightened mind song praise meditation zen teacher the audiobook also includes traditional instruction practice sitting meditation cultivate calm awareness live compassion jack kornfield one respected american buddhist teacher compiled teaching impart essence inspiration buddhism listener spiritual tradition,2
1923,James and the Giant Peach,Roald Dahl,4.7,1704.0,615.0,3,Children's Fantasy (Books),198.0,brought penguin,1
1924,Mere Christianity,C.S. Lewis,4.7,4581.0,585.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1925,Iron Crowne,CD Reiss,4.6,103.0,668.0,3,Anthologies (Books),467.0,a new standalone,2
1926,It's Not Your Money: How to Live Fully from Divine Abundance,Tosha Silver,4.8,466.0,668.0,3,Mysticism (Books),365.0,it natural crave prosperity some seek manifest myriad way using anything vision board writing pretend check million dollar bank divinity yet whatever come mind always seems want,2
1927,A Thing Beyond Forever: The reward for every true love is not love…,Novoneel Chakraborty,4.2,198.0,668.0,3,Literary Fiction,466.0,what happens life play trick two innocent lover what happens first love much possibility come back bizarre astounding manifestation ever,2
1928,"Risk Management, Fifth Edition: Concepts and Guidance",Carl L. Pritchard PMP PMI-RMP EVP,3.9,20.0,586.0,3,Network Administration,591.0,emphasizing greater clarity risk practice new edition risk management concept guidance maintains focus ability apply planned clairvoyance peer future the book begin analyzing various system used apply risk management it provides fundamental introduction basic associated particular technique clarifying essential concept risk apply project the second part book present specific technique necessary successfully implement system described part i,2
1929,The Kiss Quotient: A Novel,Helen Hoang,4.4,1256.0,1172.0,3,Contemporary Romance (Audible Audiobooks & Originals),576.0,a cosmopolitan title get excited,2
1930,"The Secret of Happiness: Discovering the Source of Contentment, Peace, and Joy",Eckhart Tolle,5.0,4.0,410.0,3,Christianity (Books),192.0,when resist present moment close door happiness but align access source lasting peace contentment on the secret happiness eckhart tolle invite experience sense joy fulfillment radically change awakening consciousness realization beyond content thought,2
1931,The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,4.7,1223.0,569.0,899,Analysis & Strategy,404.0,what pixar google san antonio spur basketball team common the answer owe extraordinary success skill,2
1932,Chaurahe Par Seedhiyan,Kishore Choudhary,4.3,20.0,668.0,3,Short Stories (Books),435.0,this collection hindi short story second edition book hindi fiction category,2
1933,Chaurahe Par Seedhiyan,Kishore Choudhary,4.3,20.0,668.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1934,Convenience Store Woman,Sayaka Murata,4.3,641.0,434.0,-1,,486.5,meet keiko keiko year old she never boyfriend working supermarket eighteen year keiko family wish get proper job her friend wonder wo get married but keiko know make happy going let anyone come convenience store,2
1935,Exploring the World of Lucid Dreaming,Stephen LaBerge PhD,4.6,376.0,586.0,2,"Mind, Body & Spirit",616.0,lucid dreaming conscious awareness dream state exhilarating experience because world experiencing one creation impossible consciously influence outcome dream,2
1936,Gold,E.J. Noyes,4.7,73.0,703.0,-1,,486.5,oops it rush hour traffic piling page please try short trying place order processed time go home page continue shopping,4
1937,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Camille Fournier,4.6,259.0,586.0,3,Workplace Culture,607.0,managing people difficult wherever work but tech industry management also technical discipline learning curve brutal especially tool text framework help in practical guide author camille fournier tech lead turned cto take stage journey engineer technical manager,2
1938,Veerappan: Chasing the Brigand,K. Vijay Kumar,4.7,545.0,668.0,-1,,486.5,no bandit recent time captured public imagination much koose muniswamy veerappan be trademark moustache story daring escapade ruthless massacre officer veerappan continues fascinate even year death,2
1939,Ayurveda: Natural Health Practices for Your Body Type From the World's Oldest Healing Tradition,Vasant Lad,5.0,5.0,656.0,-1,,486.5,oops it rush hour traffic piling page please try short trying place order processed time go home page continue shopping,4
1940,Myth=Mithya,Devdutt Pattanaik,4.3,552.0,754.0,-1,,486.5,hindu one god they also million god male god female god personal god family god household god village god god space time god specific caste particular profession god reside tree animal mineral geometrical pattern object then whole host demon but devil,2
1941,Nice Girls Don't Get the Corner Office: Unconscious Mistakes Women Make That Sabotage Their Careers (A Nice Girls Book),Lois P. Frankel,4.5,488.0,500.0,1,Analysis & Strategy,531.0,the new york time bestseller year woman business completely revised updated in new edition internationally recognized executive coach lois frankel reveals distinctive set woman learn girlhood ultimately sabotage adult she teach eliminate unconscious mistake could holding back offer invaluable coaching tip easily incorporated social business skill the result hundred thousand woman career opportunity never thought possible every stage career corner office stop making nice girl error become career pitfall,2
1942,"If You're Not First, You're Last: Sales Strategies to Dominate Your Market and Beat Your Competition",Grant Cardone,4.7,254.0,820.0,909,Textbooks & Study Guides,467.0,during economic contraction becomes much difficult sell product maintain customer base gain market share mistake become costly failure becomes real possibility able make transition,2
1943,The Dalai Lama's Cat + The Dalai Lama's Cat: Guided Meditations,David Michie,4.7,2032.0,1063.0,-1,",            5 star,          ,            ,              82%,            ,",434.0,featuring delightful cast character timeless buddhist wisdom his holiness compassion pervading every chapter the dalai lama cat simply enchanting not much warmhearted tale small kitten rescued slum new delhi find beautiful sanctuary sweeping view snowcapped himalaya,2
1944,The Zoya Factor,Anuja Chauhan,4.1,136.0,836.0,3,Romance (Audible Audiobooks & Originals),821.0,when younger player india cricket team find advertising executive zoya singh solanki born moment india world cup back intrigued when breakfast followed victory field impressed and eating result defeat decide lucky charm,2
1945,How Proust Can Change Your Life,Alain de Botton,4.3,236.0,937.0,3,Humorous Fiction,306.0,for anyone ever wondered marcel proust mind wrote word in search lost time bedridden less alain de botton answer for stylish erudite frequently hilarious book de botton dip deeply proust life work fiction letter conversation distils rare manual one actually helpful,2
1946,Mini Habits for Weight Loss: Stop Dieting. Form New Habits. Change Your Lifestyle Without Suffering.,Stephen Guise,4.5,501.0,836.0,3,Healthy Living & Wellness,615.0,you never diet,2
